Obs,CODE,CATEGORY,DESC,REV,CMS06,CMS07,CMS08,CMS09,CMS10,CMS11,CMS12,CMS13,CMS14,CMS15,CMS16,CMS17,CMS18,CMS19,CMS20,CMS21,CMS22,CMS23,CMS24,CMS25
531,Y35013A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
532,Y35013D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
533,Y35013S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
534,Y35019A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
535,Y35019D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
536,Y35019S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY MACHINE GUN, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
537,Y35021A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
538,Y35021D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
539,Y35021S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
540,Y35022A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
541,Y35022D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
542,Y35022S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
543,Y35023A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
544,Y35023D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
545,Y35023S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
546,Y35029A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
547,Y35029D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
548,Y35029S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY HANDGUN, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
549,Y35031A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
550,Y35031D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
551,Y35031S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
552,Y35032A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
553,Y35032D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
554,Y35032S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
555,Y35033A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
556,Y35033D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
557,Y35033S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
558,Y35039A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
559,Y35039D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
560,Y35039S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RIFLE PELLET, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
561,Y35041A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
562,Y35041D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
563,Y35041S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
564,Y35042A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
565,Y35042D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
566,Y35042S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
567,Y35043A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
568,Y35043D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
569,Y35043S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
570,Y35049A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
571,Y35049D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
572,Y35049S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY RUBBER BULLET, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
573,Y35091A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
574,Y35091D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
575,Y35091S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
576,Y35092A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
577,Y35092D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
578,Y35092S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
579,Y35093A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
580,Y35093D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
581,Y35093S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
582,Y35099A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
583,Y35099D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
584,Y35099S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER FIREARM DISCHARGE, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
585,Y35101A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
586,Y35101D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
587,Y35101S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
588,Y35102A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
589,Y35102D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
590,Y35102S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
591,Y35103A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
592,Y35103D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
593,Y35103S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
594,Y35109A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
595,Y35109D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
596,Y35109S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED EXPLOSIVES, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
597,Y35111A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
598,Y35111D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
599,Y35111S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
600,Y35112A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
601,Y35112D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
602,Y35112S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
603,Y35113A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
604,Y35113D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
605,Y35113S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
606,Y35119A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
607,Y35119D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
608,Y35119S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY DYNAMITE, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
609,Y35121A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
610,Y35121D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
611,Y35121S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
612,Y35122A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
613,Y35122D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
614,Y35122S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
615,Y35123A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
616,Y35123D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
617,Y35123S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
618,Y35129A,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
619,Y35129D,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
620,Y35129S,Exposure to violence,"LEGAL INTERVENTION INVOLVING INJURY BY EXPLOSIVE SHELL, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
621,Y35191A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
622,Y35191D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
623,Y35191S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
624,Y35192A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
625,Y35192D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
626,Y35192S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
627,Y35193A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
628,Y35193D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
629,Y35193S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
630,Y35199A,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
631,Y35199D,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
632,Y35199S,Exposure to violence,"LEGAL INTERVENTION INVOLVING OTHER EXPLOSIVES, UNSPECIFIED PERSON INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
633,Y35201A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, LAW ENFORCEMENT OFFICIAL INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
634,Y35201D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, LAW ENFORCEMENT OFFICIAL INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
635,Y35201S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, LAW ENFORCEMENT OFFICIAL INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
636,Y35202A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, BYSTANDER INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
637,Y35202D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, BYSTANDER INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
638,Y35202S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, BYSTANDER INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
639,Y35203A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, SUSPECT INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
640,Y35203D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, SUSPECT INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
641,Y35203S,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, SUSPECT INJURED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
642,Y35209A,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, UNSPECIFIED PERSON INJURED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
643,Y35209D,Exposure to violence,"LEGAL INTERVENTION INVOLVING UNSPECIFIED GAS, UNSPECIFIED PERSON INJURED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,1,1,1,1,1
