dx_class	ICD9_CD_NODOT	ICD9_CD	ICD9_LDESC	Remission
Substance Abuse Disorder	303	303	Substance Abuse Disorder	0
Substance Abuse Disorder	30300	303.00	Acute alcoholic intoxication in alcoholism, unspecified	0
Substance Abuse Disorder	30301	303.01	Acute alcoholic intoxication in alcoholism, continuous	0
Substance Abuse Disorder	30302	303.02	Acute alcoholic intoxication in alcoholism, episodic	0
Substance Abuse Disorder	30303	303.03	Acute alcoholic intoxication in alcoholism, in remission	1
Substance Abuse Disorder	30390	303.90	Other and unspecified alcohol dependence, unspecified	0
Substance Abuse Disorder	30391	303.91	Other and unspecified alcohol dependence, continuous	0
Substance Abuse Disorder	30392	303.92	Other and unspecified alcohol dependence, episodic	0
Substance Abuse Disorder	30393	303.93	Other and unspecified alcohol dependence, in remission	1
Substance Abuse Disorder	30400	304.00	Opioid type dependence, unspecified	0
Substance Abuse Disorder	30401	304.01	Opioid type dependence, continuous	0
Substance Abuse Disorder	30402	304.02	Opioid type dependence, episodic	0
Substance Abuse Disorder	30403	304.03	Opioid type dependence, in remission	1
Substance Abuse Disorder	30410	304.10	Sedative, hypnotic or anxiolytic dependence, unspecified	0
Substance Abuse Disorder	30411	304.11	Sedative, hypnotic or anxiolytic dependence, continuous	0
Substance Abuse Disorder	30412	304.12	Sedative, hypnotic or anxiolytic dependence, episodic	0
Substance Abuse Disorder	30413	304.13	Sedative, hypnotic or anxiolytic dependence, in remission	1
Substance Abuse Disorder	30420	304.20	Cocaine dependence, unspecified	0
Substance Abuse Disorder	30421	304.21	Cocaine dependence, continuous	0
Substance Abuse Disorder	30422	304.22	Cocaine dependence, episodic	0
Substance Abuse Disorder	30423	304.23	Cocaine dependence, in remission	1
Substance Abuse Disorder	30430	304.30	Cannabis dependence, unspecified	0
Substance Abuse Disorder	30431	304.31	Cannabis dependence, continuous	0
Substance Abuse Disorder	30432	304.32	Cannabis dependence, episodic	0
Substance Abuse Disorder	30433	304.33	Cannabis dependence, in remission	1
Substance Abuse Disorder	30440	304.40	Amphetamine and other psychostimulant dependence, unspecified	0
Substance Abuse Disorder	30441	304.41	Amphetamine and other psychostimulant dependence, continuous	0
Substance Abuse Disorder	30442	304.42	Amphetamine and other psychostimulant dependence, episodic	0
Substance Abuse Disorder	30443	304.43	Amphetamine and other psychostimulant dependence, in remission	1
Substance Abuse Disorder	30450	304.50	Hallucinogen dependence, unspecified	0
Substance Abuse Disorder	30451	304.51	Hallucinogen dependence, continuous	0
Substance Abuse Disorder	30452	304.52	Hallucinogen dependence, episodic	0
Substance Abuse Disorder	30453	304.53	Hallucinogen dependence, in remission	1
Substance Abuse Disorder	30460	304.60	Other specified drug dependence, unspecified	0
Substance Abuse Disorder	30461	304.61	Other specified drug dependence, continuous	0
Substance Abuse Disorder	30462	304.62	Other specified drug dependence, episodic	0
Substance Abuse Disorder	30463	304.63	Other specified drug dependence, in remission	1
Substance Abuse Disorder	30470	304.70	Combinations of opioid type drug with any other drug dependence, unspecified	0
Substance Abuse Disorder	30471	304.71	Combinations of opioid type drug with any other drug dependence, continuous	0
Substance Abuse Disorder	30472	304.72	Combinations of opioid type drug with any other drug dependence, episodic	0
Substance Abuse Disorder	30473	304.73	Combinations of opioid type drug with any other drug dependence, in remission	1
Substance Abuse Disorder	30480	304.80	Combinations of drug dependence excluding opioid type drug, unspecified	0
Substance Abuse Disorder	30481	304.81	Combinations of drug dependence excluding opioid type drug, continuous	0
Substance Abuse Disorder	30482	304.82	Combinations of drug dependence excluding opioid type drug, episodic	0
Substance Abuse Disorder	30483	304.83	Combinations of drug dependence excluding opioid type drug, in remission	1
Substance Abuse Disorder	30490	304.90	Unspecified drug dependence, unspecified	0
Substance Abuse Disorder	30491	304.91	Unspecified drug dependence, continuous	0
Substance Abuse Disorder	30492	304.92	Unspecified drug dependence, episodic	0
Substance Abuse Disorder	30493	304.93	Unspecified drug dependence, in remission	1
Substance Abuse Disorder	30500	305.00	Alcohol abuse, unspecified	0
Substance Abuse Disorder	30501	305.01	Alcohol abuse, continuous	0
Substance Abuse Disorder	30502	305.02	Alcohol abuse, episodic	0
Substance Abuse Disorder	30503	305.03	Alcohol abuse, in remission	1
Substance Abuse Disorder	30520	305.20	Cannabis abuse, unspecified	0
Substance Abuse Disorder	30521	305.21	Cannabis abuse, continuous	0
Substance Abuse Disorder	30522	305.22	Cannabis abuse, episodic	0
Substance Abuse Disorder	30523	305.23	Cannabis abuse, in remission	1
Substance Abuse Disorder	30530	305.30	Hallucinogen abuse, unspecified	0
Substance Abuse Disorder	30531	305.31	Hallucinogen abuse, continuous	0
Substance Abuse Disorder	30532	305.32	Hallucinogen abuse, episodic	0
Substance Abuse Disorder	30533	305.33	Hallucinogen abuse, in remission	1
Substance Abuse Disorder	30540	305.40	Sedative, hypnotic or anxiolytic abuse, unspecified	0
Substance Abuse Disorder	30541	305.41	Sedative, hypnotic or anxiolytic abuse, continuous	0
Substance Abuse Disorder	30542	305.42	Sedative, hypnotic or anxiolytic abuse, episodic	0
Substance Abuse Disorder	30543	305.43	Sedative, hypnotic or anxiolytic abuse, in remission	1
Substance Abuse Disorder	30550	305.50	Opioid abuse, unspecified	0
Substance Abuse Disorder	30551	305.51	Opioid abuse, continuous	0
Substance Abuse Disorder	30552	305.52	Opioid abuse, episodic	0
Substance Abuse Disorder	30553	305.53	Opioid abuse, in remission	1
Substance Abuse Disorder	30560	305.60	Cocaine abuse, unspecified	0
Substance Abuse Disorder	30561	305.61	Cocaine abuse, continuous	0
Substance Abuse Disorder	30562	305.62	Cocaine abuse, episodic	0
Substance Abuse Disorder	30563	305.63	Cocaine abuse, in remission	1
Substance Abuse Disorder	30570	305.70	Amphetamine or related acting sympathomimetic abuse, unspecified	0
Substance Abuse Disorder	30571	305.71	Amphetamine or related acting sympathomimetic abuse, continuous	0
Substance Abuse Disorder	30572	305.72	Amphetamine or related acting sympathomimetic abuse, episodic	0
Substance Abuse Disorder	30573	305.73	Amphetamine or related acting sympathomimetic abuse, in remission	1
Substance Abuse Disorder	30580	305.80	Antidepressant type abuse, unspecified	0
Substance Abuse Disorder	30581	305.81	Antidepressant type abuse, continuous	0
Substance Abuse Disorder	30582	305.82	Antidepressant type abuse, episodic	0
Substance Abuse Disorder	30583	305.83	Antidepressant type abuse, in remission	1
Substance Abuse Disorder	30590	305.90	Other, mixed, or unspecified drug abuse, unspecified	0
Substance Abuse Disorder	30591	305.91	Other, mixed, or unspecified drug abuse, continuous	0
Substance Abuse Disorder	30592	305.92	Other, mixed, or unspecified drug abuse, episodic	0
Substance Abuse Disorder	30593	305.93	Other, mixed, or unspecified drug abuse, in remission	1
Suicide Ideation	V6284	V62.84	Suicide Ideation	0
Anxiety Disorder	3002	300.2	Phobic disorders	0
Attention Deficit Disorder	314	314	Hyperkinetic syndrome of childhood	0
Attention Deficit Disorder	3140	314.0	Attention deficit disorder of childhood	0
Autism Spectrum Disorder	299	299	Autistic disorder	0
Autism Spectrum Disorder	2991	299.1	Childhood disintegrative disorder	0
Autism Spectrum Disorder	29910	299.10	Childhood disintegrative disorder current or active state	0
Autism Spectrum Disorder	29911	299.11	Childhood disintegrative disorder residual state	0
Autism Spectrum Disorder	2998	299.8	Other specified pervasive developmental disorders	0
Autism Spectrum Disorder	2999	299.9	Unspecified pervasive developmental disorder	0
Bipolar Spectrum Disorder	2960	296.0	Bipolar i disorder	0
Bipolar Spectrum Disorder	2961	296.1	Manic disorder recurrent episode	0
Bipolar Spectrum Disorder	2964	296.4	Bipolar i disorder	0
Bipolar Spectrum Disorder	2965	296.5	Bipolar i disorder	0
Bipolar Spectrum Disorder	2966	296.6	Bipolar i disorder	0
Bipolar Spectrum Disorder	2968	296.8	Other and unspecified bipolar disorders	0
Depressive Disorder	2962	296.2	Major depressive disorder single episode	0
Dementia	290	290	Dementias	0
Possibly Self-Inflicted Injury	E980	E980	Poisoning by solid or liquid substances undetermined whether accidenta	0
Possibly Self-Inflicted Injury	E981	E981	Poisoning by gases in domestic use undetermined whether accidentally o	0
Possibly Self-Inflicted Injury	E982	E982	Poisoning by other gases undetermined whether accidentally or purposel	0
Possibly Self-Inflicted Injury	E983	E983	Hanging strangulation or suffocation undetermined whether accidentally	0
Possibly Self-Inflicted Injury	E985	E985	Injury by firearms air guns and explosives undetermined whether accide	0
Possibly Self-Inflicted Injury	E987	E987	Falling from high place undetermined whether accidentally or purposely	0
Possibly Self-Inflicted Injury	E988	E988	Injury by other and unspecified means undetermined whether accidentall	0
Schizophrenia Spectrum Disorder	2950	295.0	Simple type schizophrenia	0
Schizophrenia Spectrum Disorder	2951	295.1	Disorganized type schizophrenia	0
Schizophrenia Spectrum Disorder	2952	295.2	Catatonic type schizophrenia	0
Schizophrenia Spectrum Disorder	2953	295.3	Paranoid type schizophrenia	0
Schizophrenia Spectrum Disorder	2954	295.4	Schizophreniform disorder	0
Schizophrenia Spectrum Disorder	2955	295.5	Latent schizophrenia	0
Schizophrenia Spectrum Disorder	2956	295.6	Schizophrenic disorder residual type	0
Schizophrenia Spectrum Disorder	2957	295.7	Schizoaffective disorder	0
Schizophrenia Spectrum Disorder	2958	295.8	Other specified types of schizophrenia	0
Schizophrenia Spectrum Disorder	2959	295.9	Unspecified schizophrenia	0
Self-Inflicted Injury	E950	E950	Suicide and self-inflicted poisoning by solid or liquid substances	0
Self-Inflicted Injury	E951	E951	Suicide and self-inflicted poisoning by gases in domestic use	0
Self-Inflicted Injury	E952	E952	Suicide and self-inflicted poisoning by other gases and vapors	0
Self-Inflicted Injury	E953	E953	Suicide and self-inflicted injury by hanging strangulation and suffoca	0
Self-Inflicted Injury	E955	E955	Suicide and self-inflicted injury by firearms air guns and explosives	0
Self-Inflicted Injury	E957	E957	Suicide and self-inflicted injuries by jumping from high place	0
Self-Inflicted Injury	E958	E958	Suicide and self-inflicted injury by other and unspecified means	0
Substance Abuse Disorder	291	291	Alcohol-induced mental disorders	0
Substance Abuse Disorder	292	292	Drug-induced mental disorders	0
Substance Abuse Disorder	3030	303.0	Acute alcoholic intoxication	0
Substance Abuse Disorder	304	304	Nondependent abuse of drugs	0
Substance Abuse Disorder	3040	304.0	Opioid type dependence	0
Substance Abuse Disorder	3041	304.1	Sedative hypnotic or anxiolytic dependence	0
Substance Abuse Disorder	3042	304.2	Cocaine dependence	0
Substance Abuse Disorder	3043	304.3	Cannabis dependence	0
Substance Abuse Disorder	3044	304.4	Amphetamine and other psychostimulant dependence	0
Substance Abuse Disorder	3045	304.5	Hallucinogen dependence	0
Substance Abuse Disorder	3046	304.6	Other specified drug dependences	0
Substance Abuse Disorder	3047	304.7	Combinations of opioid type drug with any other drug dependence	0
Substance Abuse Disorder	3048	304.8	Combinations of drug dependence excluding opioid type drug	0
Substance Abuse Disorder	3049	304.9	Unspecified drug dependence	0
Substance Abuse Disorder	305	305	Nondependent abuse of drugs	0
Substance Abuse Disorder	3050	305.0	Nondependent alcohol abuse	0
Substance Abuse Disorder	3052	305.2	Nondependent cannabis abuse	0
Substance Abuse Disorder	3053	305.3	Nondependent hallucinogen abus	0
Substance Abuse Disorder	3054	305.4	Nondependent sedative hypnotic or anxiolytic abuse	0
Substance Abuse Disorder	3055	305.5	Nondependent opioid abuse	0
Substance Abuse Disorder	3056	305.6	Nondependent cocaine abuse	0
Substance Abuse Disorder	3057	305.7	Nondependent amphetamine or related acting sympathomimetic abuse	0
Substance Abuse Disorder	3058	305.8	Nondependent antidepressant type abuse	0
Substance Abuse Disorder	3059	305.9	Nondependent other mixed or unspecified drug abuse	0
